ACTURSCI 4960F - SEL TOPCS IN ACTUARIAL SCIENCE,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '11:30 AM', '2:30 PM', 'WSC-248']]"
"<div class=""span12"">
<!-- Search Results - timetable -->

19   Results <br/><br/><br/>
",[[]]
ACTURSCI 3431B - LIFE CONTINGENCIES III,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '8:30 AM', '9:30 AM', 'WSC-240']]"
ACTURSCI 1021B - INTRO TO FINANCIAL SECURE SYS,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '8:30 AM', '9:30 AM', 'P&amp;AB-148']]"
ACTURSCI 3429A - LIFE CONTINGENCIES II,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '10:30 AM', '11:30 AM', 'WSC-240']]"
ACTURSCI 2427B - LIFE CONTINGENCIES I,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '12:30 PM', '1:30 PM', 'TC-141', '', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'SEB-1200']]"
ACTURSCI 4426F - ACTUARIAL PRACTICE I,"[['', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '8:30 AM', '10:30 AM', 'AHB-2B02']]"
ACTURSCI 2053 - MATH FOR FINANCIAL ANALYSIS,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '11:30 AM', '12:30 PM', 'WSC-55', '', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '11:30 AM', 'SEB-2200', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'SEB-2200', '', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '11:00 AM', '12:30 PM', 'KC-LH103', '', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '1:30 PM', '3:00 PM', 'KC-LH101']]"
ACTURSCI 4824A - LOSS MODELS II,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'WSC-248', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '10:30 AM', '12:30 PM', 'WSC-248']]"
ACTURSCI 2553A - MATHEMATICS OF FINANCE,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '9:30 AM', '10:30 AM', 'NCB-113', '', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '5:30 PM', '6:30 PM', 'WSC-55']]"
ACTURSCI 3424B - LOSS MODELS I,"[['', ' M', '  ', ' W', '  ', ' F', ' ', ' ', '', '9:30 AM', '10:30 AM', 'WSC-240']]"
ACTURSCI 4823A - SURVIVAL ANALYSIS,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '4:30 PM', 'WSC-240', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'WSC-240']]"
"<div class=""span12"">
<!-- Search Results - timetable -->

8   Results <br/><br/><br/>
",[[]]
AMERICAN 1020 - INTRODUCTN TO AMERICAN STUDIES,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '4:30 PM', 'SSC-3028', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '11:30 AM', '12:30 PM', 'STVH-2166', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '4:30 PM', '5:30 PM', 'STVH-2166', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'STVH-2166', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '12:30 PM', '1:30 PM', 'STVH-1155']]"
AMERICAN 4430G - DRCTD RDGS IN AMERICAN STUDIES,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
AMERICAN 4430F - DRCTD RDGS IN AMERICAN STUDIES,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
AMERICAN 4420E - IND THESIS IN AMERICAN STUDIES,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
ANATCELL 3309 - MAMMALIAN HISTOLOGY,"[['', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '11:30 AM', '12:30 PM', 'SEB-2200', '', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '3:30 PM', '6:30 PM', 'MSB-113', '', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '3:30 PM', 'MSB-113', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANATCELL 4411B - DISCOVERY BASED CELL BIO II,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'MSB-447', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'MSB-447']]"
